item_key,plant_code,material_id,flag_bucket,reviewed_bucket,route_to_code,selected_model,sap_slt_days,recommended_slt_days,sap_safety_stock_units,recommended_safety_stock,recommended_reorder_point,recommended_order_quantity,sap_fill_rate_pct,inventor_fill_rate_pct,fill_gain_vs_sap_pct_pts,sap_total_cost,inventor_total_cost,cost_delta_vs_sap,stockout_days_reduction_vs_sap,shortage_reduction_vs_sap,opportunity_score,interpretation
PLANT_B__MATERIAL_0217,PLANT_B,MATERIAL_0217,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",4.0,4.0,0.0,527.0,603.0,347.0,57.7432,100.0,42.2568,1125.1434,2195.0027,1069.8593,34.0,3610.0,1436.7312,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0216,PLANT_A,MATERIAL_0216,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",3.5,4.5,0.0,217.0,308.0,200.0,87.6134,100.0,12.3866,771.9982,1306.6616,534.6634,6.0,314.0,74.3196,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0088,PLANT_A,MATERIAL_0088,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,eoq,4.0,0.0,0.0,0.0,285.0,1341.0,100.0,97.5299,-2.4701,2509.7652,1319.4185,-1190.3467,-6.0,-497.0,12.3505,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0200,PLANT_A,MATERIAL_0200,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",4.5,7.0,0.0,3105.0,4755.0,3656.0,98.523,100.0,1.477,746.5085,1237.0648,490.5563,1.0,236.0,1.477,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0025,PLANT_A,MATERIAL_0025,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(s,S)",3.0,3.5,1152.0,3350.0,7248.0,3980.0,100.0,100.0,0.0,2741.4849,3534.5897,793.1048,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0027,PLANT_A,MATERIAL_0027,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(s,S)",2.5,3.0,0.0,889.0,2331.0,371.0,100.0,100.0,0.0,15850.3988,42659.387,26808.9882,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0029,PLANT_A,MATERIAL_0029,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",4.0,4.5,0.0,961.0,1654.0,206.0,100.0,100.0,0.0,20000.3513,41900.5026,21900.1513,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0046,PLANT_A,MATERIAL_0046,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(s,S)",3.0,2.5,0.0,456.0,1261.0,2981.0,100.0,100.0,0.0,460.3318,478.826,18.4942,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0082,PLANT_A,MATERIAL_0082,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",5.0,0.0,0.0,3092.0,4916.0,5901.0,100.0,100.0,0.0,515.6374,766.6783,251.0409,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0083,PLANT_A,MATERIAL_0083,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",2.0,0.0,0.0,1276.0,1618.0,4378.0,100.0,100.0,0.0,231.917,302.3644,70.4474,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0087,PLANT_A,MATERIAL_0087,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",4.0,0.0,80.0,254.0,416.0,496.0,100.0,100.0,0.0,567.5518,709.7993,142.2475,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0154,PLANT_A,MATERIAL_0154,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",3.0,0.0,0.0,2625.0,3839.0,7151.0,100.0,100.0,0.0,318.6067,463.4765,144.8698,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0205,PLANT_A,MATERIAL_0205,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",5.0,6.0,288.0,1526.0,2378.0,1581.0,100.0,100.0,0.0,1089.1789,1630.3412,541.1623,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0206,PLANT_A,MATERIAL_0206,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",5.0,6.5,96.0,1509.0,2343.0,1447.0,100.0,100.0,0.0,1122.2628,1863.5975,741.3347,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_B__MATERIAL_0057,PLANT_B,MATERIAL_0057,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",3.0,2.5,0.0,919.0,2256.0,1384.0,100.0,100.0,0.0,4282.23,5813.3388,1531.1088,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_B__MATERIAL_0196,PLANT_B,MATERIAL_0196,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",4.0,1.5,0.0,108006.0,128936.0,11136.0,50.8857,98.3954,47.5097,13740.3012,63194.224,49453.9228,12.0,219366.0,570.1164,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_B__MATERIAL_0216,PLANT_B,MATERIAL_0216,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",4.0,4.5,0.0,1237.0,1498.0,393.0,28.0298,81.5064,53.4766,1734.9441,5227.6406,3492.6965,6.0,17743.0,320.8596,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0039,PLANT_A,MATERIAL_0039,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",4.0,0.0,0.0,44.0,53.0,28.0,68.5185,100.0,31.4815,860.745,1810.1254,949.3804,5.0,68.0,157.4075,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_B__MATERIAL_0214,PLANT_B,MATERIAL_0214,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",4.0,3.5,0.0,1073.0,1283.0,285.0,29.3651,60.4954,31.1303,1664.2711,3459.7238,1795.4527,5.0,10193.0,155.6515,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0028,PLANT_A,MATERIAL_0028,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",4.0,0.0,0.0,37.0,46.0,26.0,64.8,94.4,29.6,1002.0124,1921.188,919.1756,4.0,74.0,118.4,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_B__MATERIAL_0135,PLANT_B,MATERIAL_0135,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",6.0,2.5,0.0,206446.0,374084.0,16091.0,71.1208,82.103,10.9822,53425.7808,76129.4436,22703.6628,7.0,206446.0,76.8754,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0036,PLANT_A,MATERIAL_0036,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",4.0,4.5,0.0,2055.0,3208.0,318.0,43.2762,47.6036,4.3274,5101.5421,7830.0628,2728.5207,5.0,2055.0,21.637,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0222,PLANT_A,MATERIAL_0222,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",2.0,3.0,0.0,561.0,844.0,244.0,98.8517,100.0,1.1483,6305.7275,14059.2468,7753.5193,1.0,91.0,1.1483,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0022,PLANT_A,MATERIAL_0022,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",2.5,4.0,0.0,1978.0,2953.0,308.0,100.0,100.0,0.0,23064.9393,58795.5057,35730.5664,0.0,0.0,0.0,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0030,PLANT_A,MATERIAL_0030,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",4.0,4.5,0.0,774.0,1331.0,192.0,100.0,100.0,0.0,13295.0202,30956.4326,17661.4124,0.0,0.0,0.0,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0045,PLANT_A,MATERIAL_0045,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",5.0,6.5,0.0,859.0,1349.0,12806.0,100.0,100.0,0.0,37.9578,40.745,2.7872,0.0,0.0,0.0,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0051,PLANT_A,MATERIAL_0051,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(s,S)",3.0,3.0,0.0,1384.0,4143.0,4013.0,100.0,100.0,0.0,1608.0135,1932.8889,324.8754,0.0,0.0,0.0,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0062,PLANT_A,MATERIAL_0062,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(s,S)",3.0,3.0,0.0,1387.0,4155.0,2306.0,100.0,100.0,0.0,3396.9256,4559.256,1162.3304,0.0,0.0,0.0,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0064,PLANT_A,MATERIAL_0064,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(s,S)",3.0,3.0,0.0,1002.0,2856.0,1841.0,100.0,100.0,0.0,2558.9821,3322.7944,763.8123,0.0,0.0,0.0,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0096,PLANT_A,MATERIAL_0096,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",2.5,3.0,100.0,846.0,1121.0,545.0,100.0,100.0,0.0,1724.9079,3100.8537,1375.9458,0.0,0.0,0.0,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_B__MATERIAL_0213,PLANT_B,MATERIAL_0213,OPTIMIZE_NOW,OPTIMIZE_NOW,request_planner_review,"(r,Q)",4.0,4.0,0.0,1209.0,1473.0,467.0,32.181,95.7705,63.5895,1675.9205,5278.0968,3602.1763,37.0,20823.0,2352.8115,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0107,PLANT_A,MATERIAL_0107,OPTIMIZE_NOW,OPTIMIZE_NOW,request_planner_review,"(s,S)",4.0,5.0,0.0,163211.0,456934.0,149237.0,100.0,100.0,0.0,8319.1688,12150.9742,3831.8054,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_B__MATERIAL_0230,PLANT_B,MATERIAL_0230,OPTIMIZE_NOW,OPTIMIZE_NOW,request_planner_review,"(r,Q)",2.0,3.0,0.0,826.0,1749.0,551.0,100.0,100.0,0.0,7736.69,13445.4803,5708.7903,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_B__MATERIAL_0210,PLANT_B,MATERIAL_0210,OPTIMIZE_NOW,LLM_REVIEW,request_planner_review,"(r,Q)",5.0,4.0,0.0,279286.0,700582.0,29234.0,89.2926,100.0,10.7074,97355.1596,235216.1824,137861.0228,13.0,264359.0,139.1962,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0040,PLANT_A,MATERIAL_0040,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",2.5,0.0,0.0,18.0,19.0,12.0,68.5185,100.0,31.4815,645.5384,1496.5968,851.0584,2.0,17.0,62.963,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_B__MATERIAL_0197,PLANT_B,MATERIAL_0197,LLM_REVIEW,LLM_REVIEW,request_planner_review,eoq,2.0,0.0,9000.0,0.0,1133.0,9296.0,100.0,95.6086,-4.3914,1946.7183,952.7269,-993.9914,-9.0,-5949.0,35.1312,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_B__MATERIAL_0191,PLANT_B,MATERIAL_0191,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",2.5,1.5,64960.0,124482.0,412775.0,23415.0,25.6428,26.4369,0.7941,12571.662,16541.5965,3969.9345,1.0,59522.0,0.7941,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0008,PLANT_A,MATERIAL_0008,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",3.0,5.5,0.0,23.0,25.0,11.0,100.0,100.0,0.0,238.8698,661.4857,422.6159,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0038,PLANT_A,MATERIAL_0038,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",4.0,0.0,0.0,10.0,11.0,16.0,53.2258,69.3548,16.129,361.6889,523.6039,161.915,0.0,10.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0056,PLANT_A,MATERIAL_0056,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",5.0,4.0,12400.0,7556.0,16322.0,127838.0,100.0,100.0,0.0,67.5352,64.8251,-2.7101,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0060,PLANT_A,MATERIAL_0060,LLM_REVIEW,LLM_REVIEW,request_planner_review,eoq,3.5,0.0,0.0,0.0,3345.0,108193.0,100.0,100.0,0.0,174.6478,154.2459,-20.4019,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0074,PLANT_A,MATERIAL_0074,LLM_REVIEW,LLM_REVIEW,request_planner_review,eoq,10.0,0.0,32000.0,0.0,2539.0,147282.0,100.0,100.0,0.0,225.4879,162.0338,-63.4541,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0081,PLANT_A,MATERIAL_0081,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",2.0,0.0,6000.0,3595.0,7032.0,13883.0,100.0,100.0,0.0,1224.787,1091.8512,-132.9358,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0122,PLANT_A,MATERIAL_0122,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",5.0,2.5,4000.0,539.0,751.0,6805.0,100.0,100.0,0.0,63.7796,42.2702,-21.5094,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0159,PLANT_A,MATERIAL_0159,OPTIMIZE_NOW,LLM_REVIEW,request_planner_review,"(r,Q)",3.0,4.5,0.0,1143.0,1555.0,788.0,100.0,100.0,0.0,1081.324,2224.9843,1143.6603,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0197,PLANT_A,MATERIAL_0197,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",2.0,0.0,7500.0,3631.0,6813.0,11015.0,100.0,100.0,0.0,1569.2471,1254.7031,-314.544,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_A__MATERIAL_0203,PLANT_A,MATERIAL_0203,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",2.0,0.0,7500.0,3631.0,6814.0,2890.0,100.0,100.0,0.0,14829.3394,10257.6291,-4571.7103,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_B__MATERIAL_0201,PLANT_B,MATERIAL_0201,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",4.0,1.0,800.0,447.0,585.0,1539.0,100.0,100.0,0.0,214.917,182.7167,-32.2003,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_B__MATERIAL_0203,PLANT_B,MATERIAL_0203,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",2.0,0.0,9000.0,3185.0,6585.0,2439.0,100.0,100.0,0.0,16385.981,9294.3965,-7091.5845,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
PLANT_B__MATERIAL_0228,PLANT_B,MATERIAL_0228,LLM_REVIEW,LLM_REVIEW,request_planner_review,"(r,Q)",2.5,3.0,0.0,6686.0,15743.0,6939.0,100.0,100.0,0.0,4783.2552,7141.9602,2358.705,0.0,0.0,0.0,"Promising candidate, but planner review should confirm cost, MOQ, or operating constraints."
