item_key,input_flag_bucket,input_priority,status,final_bucket,review_confidence,counterfactual_priority,route_to_code,code_task,requires_planner_contact,requires_supplier_contact,planner_note,route_used,hard_escalation_flag,delivery_observations,lead_time_stability,supplier_reliability,fill_gain_vs_sap_pct_pts,fill_gain_vs_universal_rq_pct_pts,stockout_days_reduction_vs_sap,cost_delta_vs_universal_rq,opportunity_score,recommended_next_action,or_rationale,ensemble_n_runs,ensemble_n_valid,ensemble_agreement_rate,ensemble_confidence,notes,llm_error
PLANT_B__MATERIAL_0135,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_supplier_review,Evaluate supplier reliability and lead time stability for material PLANT_B__MATERIAL_0135.,NO,YES,,negbin,YES,139,Unstable,0.16,19.9413,2.264,16.0,4159.9601,103.4738,Contact the supplier to discuss reliability issues.,"Despite a service gain of 19.94 percentage points against SAP, the supplier reliability is critically low at 0.16, and the lead time is unstable. This raises concerns about the feasibility of implementing the optimization effectively.",5,5,1.0,HIGH,The hard escalation flag indicates severe concerns that need immediate attention.,
PLANT_B__MATERIAL_0217,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Evaluate the impact of the hard flag on the optimization strategy.,YES,YES,,negbin,YES,15,Moderate,0.56,14.3208,-0.1789,20.0,25.0444,73.2902,Proceed with a detailed review of the hard flag implications.,"The service gain of 14.32 percentage points against SAP indicates a significant improvement, but the moderate lead time stability and a supplier reliability of 0.56 raise concerns about consistent implementation. The hard escalation flag suggests that there are unresolved issues that could hinder the operationalization despite the apparent benefits.",5,5,1.0,HIGH,Consider the implications of the distributional branch case in the optimization strategy.,
PLANT_A__MATERIAL_0222,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_supplier_review,Evaluate supplier reliability and lead time stability for material PLANT_A__MATERIAL_0222.,NO,YES,,negbin,YES,36,Unstable,0.47,13.3459,0.4491,14.0,4518.8323,67.3375,Contact the supplier to assess reliability and lead time issues.,"The service gain of 13.3459 percentage points against SAP indicates a significant improvement, but the supplier reliability is only 0.47, which is below acceptable thresholds. Additionally, the lead time is unstable, which poses a risk to implementation despite the apparent benefits.",5,5,1.0,HIGH,The hard escalation flag indicates that immediate attention is required to address these constraints.,
PLANT_B__MATERIAL_0210,OPTIMIZE_NOW,HIGH,ok,LLM_REVIEW,MEDIUM,none,request_planner_review,Evaluate operational constraints impacting implementation despite service gains.,YES,NO,,"(r,Q)",NO,105,Unstable,0.52,12.2948,0.0,14.0,0.0,63.6431,Engage with the planner to assess operational constraints.,"The service gain of 12.29 percentage points against SAP indicates a potential improvement, but the unstable lead time and low supplier reliability (0.52) raise concerns about consistent delivery. These factors could hinder the implementation of the proposed optimization.",5,5,0.6,MEDIUM,Consider the implications of lead time stability and supplier reliability on the overall optimization strategy.,
PLANT_A__MATERIAL_0216,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Evaluate the impact of the cost delta on the overall service gain.,YES,YES,,negbin,YES,24,Moderate,0.48,10.9756,4.7732,3.0,94.1706,62.4559,Proceed with optimizing the policy while addressing supplier reliability issues.,"The service gain of 10.9756 percentage points against SAP indicates a significant improvement, but the moderate lead time stability and low supplier reliability (0.48) raise concerns about consistent implementation. The hard escalation flag suggests that there are critical issues that need to be addressed before proceeding.",5,5,1.0,HIGH,Consider a detailed review of the supplier's capacity to meet the new demands.,
PLANT_A__MATERIAL_0154,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Evaluate the impact of the NB branch on supplier reliability and lead time stability.,YES,YES,,negbin,NO,0,Stable,0.12,6.7658,5.9211,1.0,-29.812,46.5845,Proceed with optimizing the policy while addressing supplier reliability issues.,"The service gain of 6.7658 percentage points against SAP indicates a significant improvement, but the supplier reliability is critically low at 0.12. This raises concerns about the feasibility of implementation despite the apparent benefits.",5,5,1.0,HIGH,Consider the implications of thin delivery data on operational decisions.,
PLANT_B__MATERIAL_0230,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_planner_review,Evaluate the impact of unstable lead times on the proposed optimization.,YES,YES,,"(r,Q)",NO,213,Unstable,0.32,5.6172,0.0,13.0,0.0,34.2368,Engage with the planner to assess lead time impacts.,"The service gain of 5.6172 percentage points against SAP indicates a potential improvement, but the unstable lead time and low supplier reliability (0.32) raise concerns about the feasibility of implementation. These factors could hinder the expected service gains despite the apparent benefits.",5,5,0.8,HIGH,Consider the implications of the unstable lead time on overall service delivery.,
PLANT_A__MATERIAL_0083,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Evaluate the impact of the cost premium on the overall service gain.,YES,YES,,negbin,YES,0,Stable,0.29,6.0537,2.1911,1.0,14.1813,33.5379,Assess the cost implications further before proceeding with optimization.,"The service gain of 6.0537 percentage points against SAP indicates a positive impact, but the cost delta of 14.1813 suggests a significant premium that could affect implementation viability. Additionally, the supplier reliability of 0.29 raises concerns about consistent delivery, which could hinder operational effectiveness despite the apparent gains.",5,5,1.0,HIGH,Consider discussing the delivery observations and lead time stability with the planner.,
PLANT_A__MATERIAL_0082,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Evaluate the impact of supplier reliability on the proposed optimization.,YES,YES,,negbin,NO,0,Stable,0.49,4.6311,3.7466,1.0,-2.6508,31.5197,Proceed with a detailed review of supplier reliability metrics.,"The service gain of 4.6311 percentage points against SAP indicates a potential benefit, but the supplier reliability at 0.49 raises concerns about consistent delivery. Additionally, the thin delivery data suggests that the observed gains may not be stable over time.",5,5,1.0,HIGH,Consider the implications of the distributional branch case in the optimization strategy.,
PLANT_A__MATERIAL_0040,LLM_REVIEW,HIGH,ok,LLM_REVIEW,MEDIUM,none,request_planner_review,Review counterfactuals related to supplier reliability and delivery observations.,YES,YES,,"(r,Q)",NO,0,Stable,0.04,7.4074,0.0,0.0,0.0,30.6296,Engage the planner to review the supplier reliability and delivery data.,"The supplier reliability is critically low at 0.04, indicating a significant risk in material availability. Additionally, the delivery observations are at zero, suggesting insufficient data to support optimization decisions.",5,5,1.0,HIGH,Focus on understanding the implications of the low supplier reliability.,
PLANT_A__MATERIAL_0087,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Evaluate cost tradeoff against fill gain for material PLANT_A__MATERIAL_0087.,YES,YES,,negbin,NO,0,Stable,0.58,-0.1745,8.1588,-1.0,2.996,25.4758,Proceed with a detailed cost-benefit analysis.,"The fill gain versus universal RQ is positive at 8.1588 percentage points, indicating potential service improvement. However, the cost delta of 2.996 suggests a significant premium that may affect overall feasibility despite the apparent service gain.",5,5,1.0,HIGH,Consider the implications of thin delivery data on the decision-making process.,
PLANT_A__MATERIAL_0088,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Implement EOQ model adjustments for material PLANT_A__MATERIAL_0088.,NO,YES,,eoq,NO,0,Stable,0.8,3.003,3.003,2.0,452.269,23.4365,Proceed with optimization while monitoring cost implications.,"The service gain of 3.003 percentage points against SAP indicates a positive impact on fill rates. However, the cost premium of 452.269 against the universal RQ suggests that while service levels improve, the financial implications need careful consideration.",5,5,1.0,HIGH,Consider discussing the cost implications with the supplier to explore potential adjustments.,
PLANT_A__MATERIAL_0036,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_supplier_review,Evaluate supplier reliability and lead time stability for material PLANT_A__MATERIAL_0036.,NO,YES,,negbin,YES,21,Unstable,0.49,3.2323,0.7754,4.0,1392.9947,20.9919,Contact the supplier to discuss reliability issues.,"The service gain of 3.2323 percentage points against SAP indicates a potential improvement, but the supplier reliability is only 0.49, which is below acceptable thresholds. Additionally, the lead time is unstable, which could hinder implementation despite the apparent benefits.",5,5,1.0,HIGH,The hard escalation flag indicates significant concerns that need to be addressed before proceeding.,
PLANT_A__MATERIAL_0096,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_supplier_review,Evaluate supplier reliability and lead time stability for material PLANT_A__MATERIAL_0096.,NO,YES,,negbin,YES,59,Unstable,0.43,3.1769,0.3847,5.0,329.1565,20.5483,Contact the supplier to discuss reliability issues.,"Despite a service gain of 3.1769 percentage points against SAP, the supplier reliability is only 0.43, indicating a significant risk in fulfilling demand. Additionally, the lead time is unstable, which could lead to further stockouts despite the projected gains.",5,5,1.0,HIGH,The hard escalation flag indicates that immediate attention is required to address these issues.,
PLANT_B__MATERIAL_0197,LLM_REVIEW,HIGH,ok,LLM_REVIEW,MEDIUM,none,request_planner_review,Review counterfactuals related to delivery data and cost premiums.,YES,NO,,eoq,NO,0,Stable,0.75,-10.7952,6.2044,-11.0,471.5161,19.5189,Conduct a planner review to assess counterfactuals and hidden constraints.,The item has a high LLM review priority due to thin delivery data and a significant cost premium compared to the universal request. The cost delta of 471.5161 indicates a substantial financial impact that needs careful consideration before proceeding with optimization.,5,5,1.0,HIGH,Focus on the implications of thin delivery data and cost premiums.,
PLANT_A__MATERIAL_0028,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_supplier_review,Evaluate supplier reliability and potential impacts on service gain.,NO,YES,,negbin,YES,0,Stable,0.01,3.6,-0.4,1.0,-170.5537,17.1501,Contact the supplier to assess reliability and delivery capabilities.,"Despite a service gain of 3.6 percentage points against SAP, the supplier reliability is critically low at 0.01, which poses a significant risk to implementation. The hard escalation flag indicates that immediate attention is required to address these constraints.",5,5,1.0,HIGH,Immediate supplier engagement is crucial to mitigate risks associated with low reliability.,
PLANT_A__MATERIAL_0027,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Implement optimization policy for material PLANT_A__MATERIAL_0027 considering service gain and stockout reduction.,YES,YES,,"(s,S)",NO,23,Unstable,0.44,2.6045,0.0,14.0,39603.1653,16.0033,Proceed with optimization policy implementation.,"The service gain of 2.6045 percentage points against SAP indicates a potential improvement, but the unstable lead time and low supplier reliability (0.44) could hinder implementation. Additionally, the cost premium of 39603.1653 compared to universal RQ raises concerns about feasibility.",5,5,1.0,HIGH,Monitor supplier performance closely during implementation.,
PLANT_B__MATERIAL_0213,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_planner_review,Evaluate the impact of lead time stability on the proposed optimization.,YES,YES,,negbin,YES,18,Moderate,0.61,3.5199,-0.028,1.0,-0.8819,15.8409,Engage with the planner to assess lead time implications.,"The service gain of 3.52 percentage points against SAP indicates a potential benefit, but the moderate lead time stability (18 days) and a supplier reliability of 0.61 raise concerns about the feasibility of implementation. The hard escalation flag suggests that there are significant risks that need to be addressed before proceeding.",5,5,1.0,HIGH,Consider the hard escalation flag in discussions.,
PLANT_B__MATERIAL_0057,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Implement optimization policy for material PLANT_B__MATERIAL_0057 considering service gain.,YES,YES,,"(r,Q)",NO,192,Unstable,0.55,1.4653,0.0,7.0,0.0,12.1159,Proceed with optimization policy implementation while monitoring supplier reliability.,"The service gain of 1.4653 percentage points against SAP indicates a potential improvement in fill rates. However, the unstable lead time and low supplier reliability (0.55) could hinder effective implementation despite the apparent benefits.",5,5,0.8,HIGH,Close attention to lead time stability and supplier performance is crucial.,
PLANT_B__MATERIAL_0196,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_supplier_review,Evaluate supplier reliability and lead time stability for material PLANT_B__MATERIAL_0196.,NO,YES,,negbin,YES,11,Unstable,0.22,1.3933,-13.6931,0.0,-20075.3656,7.6375,Contact the supplier to assess reliability and lead time issues.,"Despite a service gain of 1.3933 percentage points against SAP, the supplier reliability is critically low at 0.22, and the lead time is unstable. This indicates that while optimization is possible, the implementation may face significant operational constraints.",5,5,1.0,HIGH,Hard escalation flag indicates a critical need for supplier engagement.,
PLANT_A__MATERIAL_0038,LLM_REVIEW,MEDIUM,ok,LLM_REVIEW,MEDIUM,none,request_planner_review,Review the counterfactuals related to supplier reliability and delivery observations.,YES,NO,,"(r,Q)",NO,0,Stable,0.26,1.6129,0.0,0.0,0.0,7.4516,Contact the planner for a detailed review of supplier reliability.,"The supplier reliability is notably low at 0.26, which raises concerns about the feasibility of optimizing this material without further review. Additionally, the delivery observations are at 0, indicating a lack of data to support any optimization claims.",5,5,1.0,HIGH,Further investigation into delivery data is necessary before proceeding.,
PLANT_B__MATERIAL_0228,LLM_REVIEW,MEDIUM,ok,LLM_REVIEW,MEDIUM,none,request_planner_review,Review stockout reduction against SAP for material PLANT_B__MATERIAL_0228.,YES,NO,,"(r,Q)",NO,193,Unstable,0.46,0.4493,0.0,4.0,0.0,6.8056,Engage the planner to review the stockout reduction strategy.,"The lead time stability is unstable, which raises concerns about the reliability of the current model. Additionally, the supplier reliability is low at 0.46, indicating potential risks in supply chain performance that need to be addressed before proceeding with optimization.",5,5,1.0,HIGH,Focus on addressing the supplier reliability and lead time stability issues.,
PLANT_B__MATERIAL_0216,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_supplier_review,Evaluate supplier reliability and lead time stability for material PLANT_B__MATERIAL_0216.,NO,YES,,negbin,YES,20,Moderate,0.56,1.1496,-0.0336,0.0,-1.3956,6.6022,Contact the supplier to discuss reliability issues.,"The service gain of 1.1496 percentage points against SAP indicates a potential benefit, but the moderate lead time stability and low supplier reliability (0.56) raise concerns about implementation feasibility. The hard escalation flag suggests that immediate action is necessary despite the apparent gains.",5,5,1.0,HIGH,The hard flag indicates a critical need for supplier engagement.,
PLANT_A__MATERIAL_0060,LLM_REVIEW,MEDIUM,ok,LLM_REVIEW,MEDIUM,none,request_planner_review,Review counterfactuals related to supplier reliability and delivery data.,YES,NO,,eoq,NO,0,Stable,0.35,0.794,0.794,0.0,164.6921,6.5395,Engage the planner to review the supplier reliability and delivery data.,"The cost delta of 164.6921 compared to the universal RQ indicates a significant premium that needs to be justified. Additionally, the supplier reliability is low at 0.35, which raises concerns about the stability of supply and potential stockouts.",5,5,1.0,HIGH,Consider the implications of the cost premium and supplier reliability before proceeding.,
PLANT_B__MATERIAL_0191,LLM_REVIEW,MEDIUM,ok,LLM_REVIEW,MEDIUM,none,request_planner_review,Review counterfactuals related to lead time stability and supplier reliability.,YES,YES,,"(r,Q)",NO,218,Unstable,0.49,1.0239,0.0,0.0,0.0,5.8504,Conduct a planner review focusing on lead time and supplier reliability.,"The lead time stability is marked as unstable, which raises concerns about the reliability of the supply chain. Additionally, the supplier reliability is at 0.49, indicating a significant risk that could impact service levels. These factors necessitate a thorough review before proceeding with any optimization.",5,5,1.0,HIGH,Reviewing these constraints is essential to ensure that any optimization does not exacerbate existing issues.,
PLANT_A__MATERIAL_0039,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,LOW,none,request_supplier_review,Evaluate supplier reliability and delivery capabilities.,NO,YES,,negbin,YES,0,Stable,0.07,0.9259,-7.4074,0.0,-85.3011,5.7036,Contact the supplier to assess reliability and delivery capabilities.,"Despite a high fill gain percentage of 92.59% against SAP, the supplier reliability is critically low at 7%. This indicates a significant risk in actual service delivery, which could negate the apparent benefits of optimization. The hard escalation flag further complicates the situation, necessitating a review of supplier capabilities.",5,5,1.0,HIGH,The situation requires immediate attention to supplier reliability to ensure successful implementation.,
PLANT_B__MATERIAL_0096,MONITOR,MEDIUM,ok,MONITOR,MEDIUM,none,keep_baseline,Maintain current monitoring status for item PLANT_B__MATERIAL_0096.,NO,YES,,"(r,Q)",NO,72,Unstable,0.46,0.8936,0.0,1.0,0.0,5.3248,Continue to observe the item for any changes in lead time or service performance.,"The lead time stability is marked as unstable, and the supplier reliability is low at 0.46, indicating potential risks in service delivery. Given these factors, it is prudent to continue monitoring the item rather than making immediate changes.",5,5,1.0,HIGH,Monitoring is essential due to the current instability in lead times and supplier reliability.,
PLANT_B__MATERIAL_0214,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_supplier_review,Evaluate supplier reliability and lead time stability for material PLANT_B__MATERIAL_0214.,NO,YES,,negbin,YES,20,Unstable,0.45,0.6663,0.059,0.0,0.0,4.8443,Contact the supplier to assess reliability and lead time issues.,"The current supplier reliability is at 0.45, indicating a significant risk in fulfilling demand. Additionally, the lead time is unstable, which could hinder the implementation of the optimization despite the apparent service gain of 0.059 percentage points over the universal request.",5,5,1.0,HIGH,Hard escalation flag indicates critical attention is needed.,
PLANT_A__MATERIAL_0110,MONITOR,MEDIUM,ok,MONITOR,MEDIUM,none,keep_baseline,Continue monitoring lead time and supplier reliability for material PLANT_A__MATERIAL_0110.,NO,YES,,"(r,Q)",NO,210,Unstable,0.37,0.4251,0.0,1.0,0.0,4.4513,Maintain observation on this item for potential lead time issues.,"The lead time stability is currently unstable, and the supplier reliability is low at 0.37. Given these factors, it is prudent to keep this item under observation to assess any further deterioration in service levels.",5,5,1.0,HIGH,"No hard escalation flags are present, but the situation requires vigilance.",
